city,region,n_shows,lat,lon,matched_name,match_method
AOL Session,,1,,,,unrecognized_region
Accord,NY,1,40.71427,-74.00597,New York City,us_state
Adelaide,AU,1,-34.92866,138.59863,Adelaide,country
Adelaide,Australia,5,-34.92866,138.59863,Adelaide,country
Akron,OH,1,41.08144,-81.51901,Akron,us_state
Albany,NY,2,42.65258,-73.75623,Albany,us_state
Albuquerque,NM,1,35.08449,-106.65114,Albuquerque,us_state
Alexandria,VA,3,38.80484,-77.04692,Alexandria,us_state
Allentown,PA,1,40.60843,-75.49018,Allentown,us_state
Ames,IA,6,42.03471,-93.61994,Ames,us_state
Amsterdam,Netherlands,7,52.37403,4.88969,Amsterdam,country
Amsterdam,The Netherlands,3,52.37403,4.88969,Amsterdam,country
Amsterdam,The Netherlands (Extra Glenns set),1,52.37403,4.88969,Amsterdam,country
Amsterdam,The Netherlands (Mountain Goats set),1,52.37403,4.88969,Amsterdam,country
Anaheim,CA,1,33.83529,-117.9145,Anaheim,us_state
Anchorage,AK,1,61.21806,-149.90028,Anchorage,us_state
Ann Arbor,MI,1,42.27756,-83.74088,Ann Arbor,us_state
Antwerp,Belgium,1,50.85045,4.34878,Brussels,country
Arcata,CA,1,40.86652,-124.08284,Arcata,us_state
Ardmore,PA,3,39.95238,-75.16362,Philadelphia,us_state
Asbury Park,NJ,2,40.22039,-74.01208,Asbury Park,us_state
Asheville,NC,12,35.60095,-82.55402,Asheville,us_state
Aspen,CO,1,39.73915,-104.9847,Denver,us_state
Athens,GA,7,33.96095,-83.37794,Athens,us_state
Athens,OH,1,39.32924,-82.10126,Athens,us_state
Atlanta,GA,13,33.749,-84.38798,Atlanta,us_state
Atlantic City,NJ,1,39.36415,-74.42306,Atlantic City,us_state
Atlantic Ocean Comedy and Music Festival,,1,,,,unrecognized_region
Auckland,NZ,1,-36.84853,174.76349,Auckland,country
Auckland,New Zealand,2,-36.84853,174.76349,Auckland,country
Austin,TX,20,30.26715,-97.74306,Austin,us_state
Baldwinsville,NY,1,40.71427,-74.00597,New York City,us_state
Baltimore,MD,10,39.29038,-76.61219,Baltimore,us_state
Bar Harbor,ME,1,43.65737,-70.2589,Portland,us_state
Barcelona,Spain,3,41.38879,2.15899,Barcelona,country
"Barrowland, Glasgow",Scotland,1,51.50853,-0.12574,London,country
Baton Rouge,LA,3,30.44332,-91.18747,Baton Rouge,us_state
Bend,OR,1,44.05817,-121.31531,Bend,us_state
Berlin,Germany,3,52.52437,13.41053,Berlin,country
