city,n_shows,raw_mean_bits,shrunk_mean_bits,lat,lon
Durham,31,4.076119310950984,3.7822733509465687,35.99403,-78.89862
Watkins Glen,4,5.671596975438535,3.6529458290991506,40.71427,-74.00597
Pittsboro,5,4.588482897932178,3.391644349007427,35.22709,-80.84313
San Francisco,57,3.281573660433404,3.203056318340611,37.77493,-122.41942
Amsterdam,12,3.4232983969225814,3.1114271405253318,52.37403,4.88969
Raleigh,5,3.835415813683828,3.102003162758062,35.7721,-78.63861
Białystok,1,6.281124337909612,3.047787376149475,53.13333,23.16433
Anchorage,1,6.065285962009467,3.023805334382792,61.21806,-149.90028
Umea,1,6.006585683231072,3.0172830811851927,59.32938,18.06871
Claremont,5,3.5954319447097967,3.0097016746911267,34.09668,-117.71978
Mobile,2,4.396423448973402,2.994180894538247,30.69436,-88.04305
Rock Island,1,5.7320672596358895,2.9867810341190615,41.50948,-90.57875
Chapel Hill,2,4.349119536611767,2.98472011206592,35.9132,-79.05584
Winston-Salem,2,4.253625314926074,2.965621267728781,36.09986,-80.24422
Ships and Dip V,2,4.232090180017752,2.9613142407471167,,
Sanibel,1,5.39628440128217,2.949471827635315,30.33218,-81.65565
Bristol,4,3.540068438949474,2.94243631693613,51.45523,-2.59665
Byron Bay,1,5.267078402142271,2.9351156055086594,-33.86785,151.20732
"Brooklyn, New York",1,5.262638802229303,2.934622316629441,40.71427,-74.00597
Chicago,51,2.9791186745490164,2.9336273635497543,41.85003,-87.65005
Newport,1,5.211838263357434,2.928977812310344,41.4901,-71.31283
Swarthmore,2,4.027230436563492,2.9203422920562647,39.95238,-75.16362
Livermore,1,5.012076637631862,2.906782076118614,37.68187,-121.76801
New York,77,2.9211951520900152,2.8950704559807865,40.71427,-74.00597
Cherry Hill,1,4.850131592568502,2.888788182222685,39.93484,-75.03073
Lyons,1,4.842675109470911,2.8879596841007302,39.73915,-104.9847
Orange,1,4.799531257816723,2.8831659228058206,33.78779,-117.85311
Tokyo,4,3.3460598746376546,2.877766795498857,35.6895,139.69171
Falls Church,1,4.736201820551155,2.876129318665202,36.85293,-75.97799
Gothenburg,3,3.4739465482040246,2.8700728810952487,59.32938,18.06871
Chautauqua,1,4.5785327377156255,2.8586105316834765,40.71427,-74.00597
Lorne,1,4.554395045849934,2.855928565920622,-33.86785,151.20732
Richmond,8,3.0624501954098706,2.8530352256696645,37.55376,-77.46026
Saxapahaw,3,3.409352231091868,2.8524562491555696,35.22709,-80.84313
Triple J Session,1,4.481094584079374,2.8477840701683377,,
Alexandria,3,3.3819161943324474,2.844973693675728,38.80484,-77.04692
Meredith,1,4.4291673411924215,2.8420143765142316,-33.86785,151.20732
Galesburg,1,4.422890568531121,2.8413169573296426,40.94782,-90.37124
AOL Session,1,4.381294636589012,2.8366951871138526,,
Solana Beach,2,3.5688711757927347,2.828670439902113,34.05223,-118.24368
Pittsburgh,8,3.0117712498434037,2.827695752886431,40.44062,-79.99589
Tallahassee,8,3.007050925242162,2.82533559058581,30.43826,-84.28073
Dorset,1,4.259311180432727,2.8231414697631547,51.50853,-0.12574
Santa Monica,2,3.533817105173916,2.8216596257783495,34.01949,-118.49138
Olympia,3,3.2946077628518626,2.8211623032719317,47.04491,-122.90169
Atlantic Ocean Comedy and Music Festival,1,4.1667318085421625,2.812854872886425,,
St. Paul,4,3.1448996307480543,2.81071338086899,44.97997,-93.26384
Harrisonburg,1,4.107065810227367,2.8062253175181144,38.44957,-78.86892
Vancouver,6,3.01907543241221,2.8045296172792087,49.24966,-123.11934
Graham,4,3.122229595785563,2.8031567025481596,35.22709,-80.84313
Boulder,4,3.110635192695296,2.7992919015180706,40.01499,-105.27055
Virtual,2,3.414828955750553,2.797861995893677,,
Greensboro,5,3.0330323979929252,2.793394156723099,36.07264,-79.79198
Stockholm,3,3.1786407018103273,2.7895349229878765,59.32938,18.06871
Marquee Live at Home,1,3.941474097472217,2.7878262383230976,,
St. Augustine,6,2.9799446831514786,2.7877592961674673,30.33218,-81.65565
Norwalk,1,3.81238351100054,2.773482839826245,41.1176,-73.4079
Ames,6,2.9447977189035153,2.772696311489768,42.03471,-93.61994
Irvine,2,3.2559247544688397,2.7660811556373344,33.66946,-117.82311
Seaside,1,3.7399395254997416,2.765433508103934,30.33218,-81.65565
Carrboro,21,2.806717595905325,2.76172522625681,35.91014,-79.07529
Katowice,1,3.699642276383264,2.760956035979881,50.25841,19.02754
Springfield,3,3.0649478294440997,2.7585277759789055,37.21533,-93.29824
Gainesville,3,3.063130147639549,2.7580320445776647,29.65163,-82.32483
New York City,4,2.9768103630651854,2.754683624974701,40.71427,-74.00597
Champaign,2,3.1964289089560993,2.7541819865347863,40.11642,-88.24338
Lawrence,7,2.8747847966053497,2.751497041578207,38.97167,-95.23525
Boone,1,3.5856969747032204,2.7482954469043204,36.21679,-81.67455
Dordrecht,1,3.558672679010368,2.7452927473828925,51.81,4.67361
Sligo,1,3.5532530983649595,2.7446905717556245,54.26969,-8.46943
Holyoke,1,3.47200253799768,2.735662731714816,42.20426,-72.6162
Urbana,3,2.980839690872438,2.7355891927320886,40.11059,-88.20727
Oberlin,1,3.467340461140277,2.7351447231751047,39.96118,-82.99879
NPR Tiny Desk Concert,1,3.4421145923899656,2.7323418488695146,,
Silver Spring,2,3.069175128906478,2.728731230524862,38.99067,-77.02609
St. Louis,11,2.788906063099717,2.7277330916596076,38.62727,-90.19789
Cary,1,3.393946360740758,2.7269898231307135,35.79154,-78.78112
Seattle,34,2.740947961204592,2.7224093506759948,47.60621,-122.33207
Bremen,1,3.258904936199482,2.711985220403905,53.07582,8.80717
St. Petersburg,3,2.8941076467761513,2.711934998887647,27.77086,-82.67927
Paris,6,2.7956079413257306,2.7087578353850037,48.85341,2.3488
Denton,5,2.809759217374124,2.707519856485099,33.21484,-97.13307
Providence,4,2.819728380982584,2.7023229642805,41.82399,-71.41283
Essen,1,3.1706124749104085,2.7021749469273413,50.85045,4.34878
Gambier,1,3.139694607037253,2.6987396282747684,39.96118,-82.99879
Athens,8,2.752506943816292,2.6980635998728753,33.96095,-83.37794
Las Cruces,1,3.123787485998204,2.6969721703815406,32.31232,-106.77834
Salisbury,1,3.0877244392176157,2.692965165183698,51.06931,-1.79569
Arcata,1,3.065817287198496,2.6905310371815734,40.86652,-124.08284
Kontich,1,3.0516541148171403,2.6889573513614224,51.13213,4.44706
Bochum,1,3.047922023795508,2.688542674581241,51.48165,7.21648
