song_key,song_title,n_main,n_encore,is_cover,n_tracked_plays,encore_rate,encore_rate_shrunk,eligible
This Year,This Year,146,258,False,404,0.6386138613861386,0.6304165361728782,True
No Children,No Children,67,308,False,375,0.8213333333333334,0.808698728206856,True
Up the Wolves,Up the Wolves,138,175,False,313,0.5591054313099042,0.5505657722841925,True
You or Your Memory,You or Your Memory,101,62,False,163,0.3803680981595092,0.37269949066213925,True
The Diaz Brothers,The Diaz Brothers,101,41,False,142,0.2887323943661972,0.28487741935483873,True
Wear Black,Wear Black,130,8,False,138,0.057971014492753624,0.0666548828988069,True
Younger,Younger,115,2,False,117,0.017094017094017096,0.02985290322580645,True
Sax Rohmer Number 1,Sax Rohmer Number 1,110,3,False,113,0.02654867256637168,0.03910423886963476,True
Cotton,Cotton,83,22,False,105,0.20952380952380953,0.2100142734798744,True
Waylon Jennings Live!,Waylon Jennings Live!,96,9,False,105,0.08571428571428572,0.09497002569226377,True
Woke Up New,Woke Up New,86,9,False,95,0.09473684210526316,0.10419041653617289,True
See America Right,See America Right,26,67,False,93,0.7204301075268817,0.6805110188438199,True
Heretic Pride (Song),Heretic Pride (Song),66,25,False,91,0.27472527472527475,0.2700162919517758,True
Dance Music,Dance Music,73,14,False,87,0.16091954022988506,0.16559592529711376,True
Corsican Mastiff Stride,Corsican Mastiff Stride,79,7,False,86,0.08139534883720931,0.09288949897048732,True
Let Me Bathe in Demonic Light,Let Me Bathe in Demonic Light,9,77,False,86,0.8953488372093024,0.8375703500343171,True
Moon Over Goldsboro,Moon Over Goldsboro,84,0,False,84,0.0,0.018821879382889203,True
Heel Turn 2,Heel Turn 2,45,38,False,83,0.4578313253012048,0.4366111308046792,True
Cry for Judas,Cry for Judas,79,3,False,82,0.036585365853658534,0.05257347670250896,True
The Slow Parts on Death Metal Albums,The Slow Parts on Death Metal Albums,9,73,False,82,0.8902439024390244,0.8303512544802868,True
Broom People,Broom People,58,23,False,81,0.2839506172839506,0.27788329104748094,True
Game Shows Touch Our Lives,Game Shows Touch Our Lives,30,50,False,80,0.625,0.5878592375366569,True
Palmcorder Yajna,Palmcorder Yajna,26,50,False,76,0.6578947368421053,0.615852534562212,True
First Blood,First Blood,61,13,False,74,0.17567567567567569,0.17965381589299764,True
Incandescent Ruins,Incandescent Ruins,59,14,False,73,0.1917808219178082,0.19421744324970133,True
Amy AKA Spent Gladiator 1,Amy AKA Spent Gladiator 1,21,52,False,73,0.7123287671232876,0.6633532457188371,True
Sicilian Crest,Sicilian Crest,71,2,False,73,0.0273972602739726,0.046069295101553165,True
Tidal Wave,Tidal Wave,71,2,False,73,0.0273972602739726,0.046069295101553165,True
Before I Got There,Before I Got There,71,1,False,72,0.013888888888888888,0.03414516129032258,True
Rain in Soho,Rain in Soho,70,2,False,72,0.027777777777777776,0.046645161290322576,True
Hast Thou Considered the Tetrapod,Hast Thou Considered the Tetrapod,53,17,False,70,0.24285714285714285,0.24014888337468981,True
Clemency for the Wizard King,Clemency for the Wizard King,69,0,False,69,0.0,0.022488479262672813,True
Andrew Eldritch Is Moving Back to Leeds,Andrew Eldritch Is Moving Back to Leeds,69,0,False,69,0.0,0.022488479262672813,True
Lakeside View Apartments Suite,Lakeside View Apartments Suite,66,2,False,68,0.029411764705882353,0.049100169779286926,True
Fresh Tattoo,Fresh Tattoo,51,15,False,66,0.22727272727272727,0.226102877070619,True
Dark in Here (song),Dark in Here (song),60,4,False,64,0.0625,0.0796057347670251,True
In Memory of Satan,In Memory of Satan,62,1,False,63,0.015873015873015872,0.038473421172194454,True
Have to Explode,Have to Explode,59,3,False,62,0.04838709677419355,0.06759447004608295,True
Spent Gladiator 2,Spent Gladiator 2,1,59,False,60,0.9833333333333333,0.8931119544592031,True
The Young Thousands,The Young Thousands,58,1,False,59,0.01694915254237288,0.04077034183919114,True
Damn These Vampires,Damn These Vampires,54,5,False,59,0.0847457627118644,0.10047183437650457,True
In League with Dragons (song),In League with Dragons (song),58,0,False,58,0.0,0.026236559139784947,True
Possum By Night,Possum By Night,24,34,False,58,0.5862068965517241,0.5413880742913001,True
Liza Forever Minnelli,Liza Forever Minnelli,25,33,False,58,0.5689655172413793,0.526236559139785,True
Water Tower,Water Tower,57,1,False,58,0.017241379310344827,0.04138807429130009,True
Getting Into Knives (song),Getting Into Knives (song),42,15,False,57,0.2631578947368421,0.257409429280397,True
In the Craters on the Moon,In the Craters on the Moon,56,0,False,56,0.0,0.027056451612903227,True
Harlem Roulette,Harlem Roulette,55,0,False,55,0.0,0.027485919098822326,True
Southwood Plantation Road,Southwood Plantation Road,46,8,False,54,0.14814814814814814,0.15696149843912593,True
Foreign Object,Foreign Object,27,27,False,54,0.5,0.4634131113423517,True
New Zion,New Zion,52,2,False,54,0.037037037037037035,0.06018730489073881,True
Abandoned Flesh,Abandoned Flesh,49,3,False,52,0.057692307692307696,0.07886021505376344,True
Jenny,Jenny,48,4,False,52,0.07692307692307693,0.0955268817204301,True
San Bernardino,San Bernardino,44,7,False,51,0.13725490196078433,0.14799343903772555,True
Transcendental Youth (Song),Transcendental Youth (Song),49,0,False,49,0.0,0.030379173740803622,True
