song_key,p_model,played,show_id,tour
You Were Cool,0.8223772358497922,False,"2014-06-15_-_Bottom_of_the_Hill_-_San_Francisco,_CA",Twin Inhuman Highway Fiends Tour 2014
Up the Wolves,0.8118538465356073,True,"2014-06-15_-_Bottom_of_the_Hill_-_San_Francisco,_CA",Twin Inhuman Highway Fiends Tour 2014
No Children,0.7869492301847502,True,"2014-06-15_-_Bottom_of_the_Hill_-_San_Francisco,_CA",Twin Inhuman Highway Fiends Tour 2014
Dance Music,0.7075007550874224,True,"2014-06-15_-_Bottom_of_the_Hill_-_San_Francisco,_CA",Twin Inhuman Highway Fiends Tour 2014
Maybe Sprout Wings,0.6727356985520383,True,"2014-06-15_-_Bottom_of_the_Hill_-_San_Francisco,_CA",Twin Inhuman Highway Fiends Tour 2014
High Hawk Season,0.6715252725074045,True,"2014-06-15_-_Bottom_of_the_Hill_-_San_Francisco,_CA",Twin Inhuman Highway Fiends Tour 2014
Love Love Love,0.6463690619677563,True,"2014-06-15_-_Bottom_of_the_Hill_-_San_Francisco,_CA",Twin Inhuman Highway Fiends Tour 2014
Woke Up New,0.6154935229664595,True,"2014-06-15_-_Bottom_of_the_Hill_-_San_Francisco,_CA",Twin Inhuman Highway Fiends Tour 2014
Going to Santiago,0.6001445556757895,False,"2014-06-15_-_Bottom_of_the_Hill_-_San_Francisco,_CA",Twin Inhuman Highway Fiends Tour 2014
Teenage World,0.6001445556757895,False,"2014-06-15_-_Bottom_of_the_Hill_-_San_Francisco,_CA",Twin Inhuman Highway Fiends Tour 2014
In Memory of Satan,0.5911582089225282,False,"2014-06-15_-_Bottom_of_the_Hill_-_San_Francisco,_CA",Twin Inhuman Highway Fiends Tour 2014
Absolute Lithops Effect,0.49270221041780804,False,"2014-06-15_-_Bottom_of_the_Hill_-_San_Francisco,_CA",Twin Inhuman Highway Fiends Tour 2014
Southwestern Territory,0.4523345568263945,True,"2014-06-15_-_Bottom_of_the_Hill_-_San_Francisco,_CA",Twin Inhuman Highway Fiends Tour 2014
Tallahassee (Song),0.445245308196868,True,"2014-06-15_-_Bottom_of_the_Hill_-_San_Francisco,_CA",Twin Inhuman Highway Fiends Tour 2014
Linda Blair Was Born Innocent,0.432595772715644,False,"2014-06-15_-_Bottom_of_the_Hill_-_San_Francisco,_CA",Twin Inhuman Highway Fiends Tour 2014
Jenny,0.41694937826802836,True,"2014-06-15_-_Bottom_of_the_Hill_-_San_Francisco,_CA",Twin Inhuman Highway Fiends Tour 2014
Twin Human Highway Flares,0.4027293682501883,False,"2014-06-15_-_Bottom_of_the_Hill_-_San_Francisco,_CA",Twin Inhuman Highway Fiends Tour 2014
Fall of the Star High School Running Back,0.3674077614556837,False,"2014-06-15_-_Bottom_of_the_Hill_-_San_Francisco,_CA",Twin Inhuman Highway Fiends Tour 2014
Alpha Rats Nest,0.30853267479042484,True,"2014-06-15_-_Bottom_of_the_Hill_-_San_Francisco,_CA",Twin Inhuman Highway Fiends Tour 2014
Wild Sage,0.2877515924708987,False,"2014-06-15_-_Bottom_of_the_Hill_-_San_Francisco,_CA",Twin Inhuman Highway Fiends Tour 2014
Ezekiel 7 and the Permanent Efficacy of Grace,0.2869959294564012,False,"2014-06-15_-_Bottom_of_the_Hill_-_San_Francisco,_CA",Twin Inhuman Highway Fiends Tour 2014
