song_key,shows_since_last,played_last_show,career_rate,song_age_years,tour_rate,in_tour_pool,is_special_show,ewma_10,ewma_25,ewma_50,ewma_100,ewma_200,new_material,as_of_date,tour,p_model
Charlie Sheen Reaches Out to the Feds,1,1.0,1.0,0.030116358658453114,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2026-05-26,Hypnotic Waves Tour 2026,0.9036875105742749
This Year,1,1.0,0.7040905134899913,21.639972621492127,1.0,1.0,0.0,0.9807201152984143,0.9687903576095349,0.9629993844102052,0.9340864628802009,0.8634459671498099,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.8960010388534153
No Children,1,1.0,0.6368159203980099,23.589322381930184,1.0,1.0,0.0,0.9538181868290103,0.9149094982663222,0.9043693415834531,0.8760014022393682,0.8085840628521044,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.8831909540486907
For the Portuguese Goth Metal Bands,1,1.0,0.8888888888888888,0.030116358658453114,0.8888888888888888,1.0,0.0,0.897971402693382,0.8922036560213026,0.8904887549918811,0.8896740590409405,0.8892777372530004,1.0,2026-05-26,Hypnotic Waves Tour 2026,0.8457311134085883
Need More Bandages,1,1.0,0.8888888888888888,0.030116358658453114,0.8888888888888888,1.0,0.0,0.8743880624245393,0.8828539549454986,0.8858382766519527,0.8873558765007444,0.8881205294490069,1.0,2026-05-26,Hypnotic Waves Tour 2026,0.8384644328995223
Fishing Boat,1,1.0,0.5945945945945946,0.487337440109514,1.0,1.0,0.0,0.6246997924282027,0.5867450618271964,0.5869882251434893,0.5898750736469497,0.5920083980531443,1.0,2026-05-26,Hypnotic Waves Tour 2026,0.7560599619974195
Armies of the Lord,1,1.0,0.5277777777777778,0.48459958932238195,1.0,1.0,0.0,0.605375291041711,0.5434654182278854,0.5325989915370918,0.5294166684830987,0.5284039165907651,1.0,2026-05-26,Hypnotic Waves Tour 2026,0.7404681207294098
Dawn of Revelation,1,1.0,0.4864864864864865,0.487337440109514,1.0,1.0,0.0,0.5955870601722622,0.5188666166272954,0.5004139898501173,0.4928720327075036,0.4895345269140135,1.0,2026-05-26,Hypnotic Waves Tour 2026,0.7314833267634069
Peru,1,1.0,0.5789473684210527,0.5065023956194388,0.8888888888888888,1.0,0.0,0.58534586030528,0.5593324763409758,0.5652115957084575,0.5711206553806824,0.5747995989199086,1.0,2026-05-26,Hypnotic Waves Tour 2026,0.6885059376022714
Your Bandage,1,1.0,0.5675675675675675,0.487337440109514,0.8888888888888888,1.0,0.0,0.5570087756134494,0.5452846770601366,0.5531504761411371,0.5595512001810735,0.5633607792894537,1.0,2026-05-26,Hypnotic Waves Tour 2026,0.6728893001754228
Shallow Grave,1,1.0,0.6470588235294118,0.11772758384668036,0.6666666666666666,1.0,0.0,0.7018220910053055,0.6676900409573465,0.6571186383880614,0.6520212564245053,0.6495227625062632,1.0,2026-05-26,Hypnotic Waves Tour 2026,0.6530696173543955
Harlem Roulette,1,1.0,0.1504424778761062,14.576317590691307,0.8888888888888888,1.0,0.0,0.5134256128023598,0.32726757549641416,0.21168757468311555,0.14623444097388455,0.13467352990975073,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.6515732527536204
Up the Wolves,1,1.0,0.47761194029850745,21.17453798767967,0.6666666666666666,1.0,0.0,0.5592877562302829,0.48587744852234904,0.5162621654949195,0.5830565971708098,0.6038720970252662,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.584694531672638
Cry for Judas,2,0.0,0.2606951871657754,13.826146475017111,0.6666666666666666,1.0,0.0,0.35901531492367234,0.2740359728040353,0.22162957753232898,0.20136481107920906,0.2123770099321314,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.4952178701957315
Damn These Vampires,1,1.0,0.21708185053380782,15.173169062286105,0.6666666666666666,1.0,0.0,0.38675353725658906,0.27654901300518997,0.19722192157991816,0.1636863092952628,0.17059795045240347,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.47150402992816987
The Diaz Brothers,2,0.0,0.34183673469387754,14.349075975359343,0.4444444444444444,1.0,0.0,0.45681286748849803,0.3773907317894701,0.34159021541624246,0.33254274842668685,0.3310189141734077,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.44285885757380344
First Blood,1,1.0,0.33472803347280333,3.7672826830937716,0.4444444444444444,1.0,0.0,0.4123382980251022,0.3749561140573766,0.34351238176191573,0.33191883966060665,0.3309703866455758,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.4284568161526278
Against Pollution,1,1.0,0.05110132158590308,21.062286105407257,0.6666666666666666,1.0,0.0,0.3566230903688178,0.19514723630568276,0.1272605642324344,0.08912413034465645,0.06812884685231589,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.4088334485198938
Let Me Bathe in Demonic Light,2,0.0,0.3235294117647059,4.577686516084873,0.2222222222222222,1.0,0.0,0.5066254765468806,0.5393484561153358,0.4640632153442714,0.3911311962324256,0.35377300260501465,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.3893724769627925
Broom People,1,1.0,0.1365600691443388,22.130047912388775,0.5555555555555556,1.0,0.0,0.31125763898939035,0.2153131045043196,0.1618738950478506,0.14630442389481488,0.14373265830458357,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.33642106031610486
Younger,1,1.0,0.3023255813953488,8.243668720054757,0.2222222222222222,1.0,0.0,0.46587067592435955,0.3234634841792776,0.23922985839668204,0.23236542425276424,0.2575919055773751,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.32596788570021606
Andrew Eldritch Is Moving Back to Leeds,1,1.0,0.1937984496124031,9.253935660506503,0.4444444444444444,1.0,0.0,0.2684421073932151,0.14366817076056648,0.10541823066543603,0.10558382777845357,0.1312909562004451,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.3130150770921017
Amy AKA Spent Gladiator 1,1,1.0,0.20405405405405405,13.626283367556468,0.3333333333333333,1.0,0.0,0.2714623074151674,0.19643722332044644,0.16170850293970981,0.15294928019806237,0.16434284216259828,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.2538982529140638
Possum By Night,3,0.0,0.15521628498727735,7.082819986310746,0.2222222222222222,1.0,0.0,0.3011123782488197,0.23298526960693355,0.1808926294118206,0.14675338206371755,0.14097861240873868,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.21628021233155637
The Coroner's Gambit (Song),2,0.0,0.021463414634146343,18.652977412731005,0.3333333333333333,1.0,0.0,0.16063145131062753,0.07714170903799546,0.04668630378932228,0.035433143346423404,0.031070772583483532,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.19748185882808925
Sax Rohmer #1,6,0.0,0.1317365269461078,18.253251197809718,0.2222222222222222,1.0,0.0,0.47105116876162734,0.5314898993914107,0.432411637391173,0.32065750327442666,0.24039655917775302,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.17949078619553474
New Zion,2,0.0,0.08283433133732535,18.253251197809718,0.1111111111111111,1.0,0.0,0.28579888828087224,0.37382358476237515,0.3446077402228534,0.25328572817724543,0.16719641984262426,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.1756329892195054
Broken To Begin With,7,0.0,0.7,0.8350444900752909,0.2222222222222222,1.0,0.0,0.42002086838518465,0.5720887063585244,0.6350937900268846,0.6676001964013244,0.683853446006623,1.0,2026-05-26,Hypnotic Waves Tour 2026,0.16631568953994325
