region,n_shows,raw_mean_bits,prior_bits,shrunk_mean_bits
NC,100,3.391976422669059,2.643878873684172,3.3365617894109194
Poland,2,4.990014045685793,2.643878873684172,3.1131059080844965
The Netherlands (Extra Glenns set),1,6.0715053973739295,2.643878873684172,3.0247262652052562
Sweden,9,3.30803946071555,2.643878873684172,2.9954933021125485
AK,2,4.199549663541096,2.643878873684172,2.9550130316555565
CA,114,2.9593987189922943,2.643878873684172,2.93870889307045
IL,69,2.965070680413649,2.643878873684172,2.9317001030911056
Netherlands,9,3.1106992983207142,2.643878873684172,2.8910190984917534
Japan,4,3.3462116192059934,2.643878873684172,2.8779897888581125
British Columbia,5,3.217437070742104,2.643878873684172,2.864478180244915
NY,129,2.8359621050179946,2.643878873684172,2.824745565962005
VA,23,2.867498101929871,2.643878873684172,2.8097899139954974
The Netherlands (Mountain Goats set),1,3.8291465390274766,2.643878873684172,2.775575280944539
RI,7,2.918941613029147,2.643878873684172,2.7722414853784936
NH,3,2.8522549756405318,2.643878873684172,2.7007087196722703
The Netherlands,7,2.733246633962503,2.643878873684172,2.6855838284807265
WA,41,2.6796715044633124,2.643878873684172,2.673827809642228
AL,9,2.672274796375702,2.643878873684172,2.658912009226747
FL,40,2.652550291792486,2.643878873684172,2.6511050554411004
Norway,3,2.654059415867984,2.643878873684172,2.646655385188848
Austria,1,2.625857816277388,2.643878873684172,2.641876533972307
Ireland,11,2.624304001144908,2.643878873684172,2.6325460527403877
Portugal,1,2.5283618392093783,2.643878873684172,2.631043647631417
MD,13,2.615068429631765,2.643878873684172,2.6260438368898247
KS,9,2.6034184651011234,2.643878873684172,2.6224586573754993
GA,22,2.6077244782936364,2.643878873684172,2.617365650397779
France,7,2.5732436773967486,2.643878873684172,2.6109157820833744
Belgium,6,2.565738635890965,2.643878873684172,2.6103902003442263
OR,34,2.5960877249378194,2.643878873684172,2.6051908008895053
KY,9,2.5624872744179346,2.643878873684172,2.6007892034843993
DE,3,2.4492495557156757,2.643878873684172,2.590798150601855
IA,20,2.562102107441357,2.643878873684172,2.585466897796447
BC,1,2.0249706670419965,2.643878873684172,2.575111295168375
VT,4,2.4353020993792978,2.643878873684172,2.574353282249214
MN,14,2.5192862668932436,2.643878873684172,2.564592669362672
PA,51,2.549811138751968,2.643878873684172,2.5625660858614197
D.C.,16,2.513848343564199,2.643878873684172,2.55719185360419
CO,24,2.5255490314264395,2.643878873684172,2.5551314919908723
New Zealand,5,2.4040670906343045,2.643878873684172,2.551643572511146
MS,2,2.1581212575516115,2.643878873684172,2.54672735045766
AU,5,2.376762370254615,2.643878873684172,2.541141756980496
Manitoba,1,1.7093990227219864,2.643878873684172,2.540047779132818
QC,1,1.6971028741292424,2.643878873684172,2.538681540400291
NZ,2,2.11280593239177,2.643878873684172,2.5376642854256914
SC,9,2.435528379416274,2.643878873684172,2.5335756708364614
England,53,2.515028813691657,2.643878873684172,2.531927182215266
WY,1,1.6357172140592315,2.643878873684172,2.531860911503623
Ontario,6,2.341710222704746,2.643878873684172,2.514378023264418
WV,4,2.242302052870812,2.643878873684172,2.510019933413052
Alberta,2,1.9604146946790681,2.643878873684172,2.507186037883151
Germany,8,2.3569443367751193,2.643878873684172,2.5004116052296457
Quebec,4,2.2053419011861646,2.643878873684172,2.497699882851503
HI,2,1.8961541684385508,2.643878873684172,2.494333932635048
Australia,38,2.457778130162004,2.643878873684172,2.4901434768615114
UT,7,2.2997695016698296,2.643878873684172,2.483294500077479
MO,21,2.4020392962711417,2.643878873684172,2.4687536624540467
IN,16,2.364976687202589,2.643878873684172,2.45794408269645
NE,8,2.271910141052783,2.643878873684172,2.4578945073684775
TN,20,2.361349541224551,2.643878873684172,2.442072207641586
NV,2,1.632825388059655,2.643878873684172,2.4416681765592685
Denmark,2,1.632799814498282,2.643878873684172,2.4416630618469943
AR,4,2.0094850887190123,2.643878873684172,2.4324142786957856
ON,3,1.8091379834515455,2.643878873684172,2.4162222672570923
CT,9,2.1819482479932417,2.643878873684172,2.399327365965444
NM,6,2.0617051853221633,2.643878873684172,2.3943758643861686
SD,2,1.3924352081218023,2.643878873684172,2.3935901405716984
Scotland,7,2.060428403713362,2.643878873684172,2.371601987697794
WI,16,2.2344084667510584,2.643878873684172,2.3708986023954295
NJ,10,2.1370336468161564,2.643878873684172,2.36229819209083
LA,8,2.025843679899751,2.643878873684172,2.3348612767919614
MI,18,2.182406199053237,2.643878873684172,2.3243977912473706
TX,45,2.242874953701391,2.643878873684172,2.3034038472836977
OH,27,2.1937882294780047,2.643878873684172,2.296666091010843
OK,9,1.9463354255821896,2.643878873684172,2.2745911658654756
ID,4,1.5236371233098542,2.643878873684172,2.2704649568927326
ME,6,1.764157763828723,2.643878873684172,2.2668555408889794
MA,33,2.136966168482258,2.643878873684172,2.235875964619217
MT,5,1.4977780865160761,2.643878873684172,2.2030708786195197
Spain,7,1.6924972968355518,2.643878873684172,2.1999008044881494
AZ,9,1.8034566940930223,2.643878873684172,2.1989494844888573
