song_key,song_title,n_plays,mean_position,shrunk_position,eligible,density
This Year,This Year,808,0.8663561403630183,0.8627644134967143,True,0.081|0.081|0.080|0.079|0.078|0.077|0.076|0.076|0.076|0.078|0.082|0.089|0.098|0.111|0.129|0.152|0.182|0.220|0.267|0.325|0.395|0.478|0.575|0.688|0.816|0.959|1.118|1.291|1.476|1.670|1.870|2.073|2.273|2.467|2.648|2.812|2.954|3.069|3.154|3.207|3.224
No Children,No Children,767,0.8903723000153191,0.8863426504667739,True,0.046|0.046|0.047|0.047|0.048|0.049|0.051|0.053|0.057|0.063|0.070|0.079|0.091|0.107|0.126|0.150|0.180|0.217|0.262|0.317|0.382|0.460|0.551|0.658|0.780|0.920|1.076|1.248|1.436|1.637|1.847|2.064|2.281|2.494|2.696|2.881|3.043|3.175|3.274|3.334|3.355
Up the Wolves,Up the Wolves,544,0.7570488305339362,0.7533234851638791,True,0.265|0.264|0.263|0.262|0.261|0.259|0.259|0.259|0.260|0.264|0.270|0.280|0.295|0.314|0.340|0.372|0.413|0.461|0.518|0.585|0.661|0.746|0.839|0.941|1.049|1.163|1.281|1.401|1.521|1.639|1.753|1.861|1.962|2.053|2.135|2.205|2.263|2.309|2.342|2.361|2.368
Dance Music,Dance Music,321,0.4612672323011891,0.4622090625187894,True,1.152|1.151|1.149|1.146|1.142|1.136|1.129|1.122|1.113|1.103|1.093|1.083|1.072|1.061|1.050|1.040|1.031|1.021|1.013|1.005|0.998|0.991|0.985|0.978|0.971|0.964|0.956|0.947|0.937|0.927|0.916|0.904|0.893|0.881|0.870|0.860|0.851|0.844|0.839|0.835|0.834
You or Your Memory,You or Your Memory,314,0.47483710450560535,0.47546226961105614,True,1.208|1.206|1.201|1.192|1.181|1.166|1.149|1.129|1.107|1.084|1.059|1.034|1.010|0.986|0.964|0.944|0.926|0.911|0.899|0.891|0.886|0.885|0.886|0.890|0.896|0.904|0.914|0.923|0.934|0.943|0.953|0.962|0.969|0.976|0.981|0.986|0.989|0.992|0.994|0.995|0.995
Woke Up New,Woke Up New,291,0.45424747774670343,0.4554716254993,True,1.064|1.064|1.065|1.067|1.069|1.071|1.075|1.079|1.083|1.088|1.094|1.100|1.105|1.111|1.115|1.119|1.122|1.122|1.121|1.118|1.111|1.103|1.091|1.076|1.058|1.038|1.015|0.989|0.962|0.934|0.905|0.876|0.847|0.820|0.795|0.772|0.752|0.737|0.725|0.718|0.715
Love Love Love,Love Love Love,271,0.48704144431169477,0.4874130158009652,True,1.090|1.088|1.082|1.073|1.060|1.045|1.028|1.010|0.991|0.973|0.957|0.943|0.932|0.924|0.919|0.919|0.922|0.929|0.938|0.950|0.964|0.979|0.995|1.009|1.022|1.034|1.042|1.048|1.051|1.050|1.047|1.041|1.033|1.023|1.013|1.003|0.993|0.985|0.978|0.974|0.973
The Diaz Brothers,The Diaz Brothers,268,0.5712232813381624,0.5691588384008244,True,0.454|0.456|0.464|0.477|0.495|0.519|0.549|0.585|0.627|0.674|0.727|0.786|0.848|0.913|0.979|1.046|1.111|1.173|1.230|1.281|1.323|1.356|1.380|1.393|1.396|1.389|1.372|1.348|1.317|1.281|1.242|1.200|1.159|1.118|1.080|1.046|1.017|0.993|0.976|0.965|0.962
See America Right,See America Right,252,0.7621998728831482,0.7541321844867436,True,0.257|0.257|0.257|0.257|0.257|0.259|0.261|0.266|0.272|0.282|0.295|0.312|0.334|0.362|0.395|0.435|0.482|0.536|0.598|0.666|0.742|0.824|0.912|1.005|1.103|1.204|1.307|1.410|1.513|1.614|1.712|1.804|1.891|1.970|2.040|2.102|2.153|2.194|2.223|2.241|2.247
The Best Ever Death Metal Band in Denton,The Best Ever Death Metal Band in Denton,230,0.8991780488764802,0.8857602993344137,True,0.114|0.114|0.115|0.117|0.120|0.124|0.128|0.134|0.142|0.152|0.164|0.179|0.197|0.220|0.247|0.279|0.319|0.365|0.420|0.483|0.556|0.640|0.734|0.839|0.955|1.081|1.216|1.360|1.509|1.663|1.819|1.973|2.123|2.266|2.398|2.516|2.617|2.699|2.759|2.796|2.808
