show_id,date,tour,n_candidates,n_played,mean_surprisal_played_bits,cross_entropy_bits
"1992-07-18_-_Casa_de_Badger_-_Pomona,_CA",1992-07-18,,3.0,0.0,,1.1524649360576615
"1992-07-22_-_Munchie's_-_Pomona,_CA",1992-07-22,,8.0,1.0,0.8609201175340985,0.830968267064612
"1992-10-01_-_KUCI_Session_-_Irvine,_CA",1992-10-01,,15.0,2.0,2.1566720993379116,0.6684160142072464
"1992-12-06_-_Munchie's_-_Pomona,_CA",1992-12-06,,18.0,0.0,,0.5046851638184988
"1992-12-12_-_KUCI_Session_-_Irvine,_CA",1992-12-12,,33.0,1.0,4.4229909802846485,0.5124032273962422
"1992-12-13_-_KSPC_Radio_Session_-_Pomona,_CA",1992-12-13,,35.0,2.0,3.2549279792036048,0.34686644044065407
"1992-12-27_-_Xmasfest_-_Munchie's_-_Pomona,_CA",1992-12-27,,41.0,1.0,2.1743270287241754,0.37249216431903603
"1993-03-07_-_Walker_Lounge_-_Pomona,_CA",1993-03-07,,46.0,2.0,2.0781314346339186,0.3516400422817473
"1994-08-18_-_Under_ACME_-_New_York,_NY",1994-08-18,Northeast Tour 1994,49.0,3.0,2.9064699031167245,0.4571194329654863
"1994-08-22_-_The_Middle_East_-_Cambridge,_MA",1994-08-22,Northeast Tour 1994,58.0,4.0,0.30235453108969823,0.6034980770452021
"1994-08-23_-_Baystate_-_Northampton,_MA",1994-08-23,Northeast Tour 1994,67.0,7.0,1.1946827938710587,0.5829313986465705
"1995-01-15_-_The_Chameleon_-_San_Francisco,_CA",1995-01-15,,71.0,5.0,1.683220366691998,0.3561548498348263
"1995-04-12_-_Simplon_-_Groningen,_The_Netherlands",1995-04-12,European Tour 1995,81.0,11.0,1.9598003306832716,0.5062896677603952
"1995-04-14_-_Gerard_Philippe_-_Berlin,_Germany",1995-04-14,European Tour 1995,84.0,0.0,,0.5543729960248124
"1995-04-15_-_Underground_-_Cologne,_Germany",1995-04-15,European Tour 1995,84.0,9.0,2.047959859742387,0.3989295595272452
"1995-04-19_-_VPRO_Radio_-_Amsterdam,_Netherlands",1995-04-19,European Tour 1995,89.0,1.0,0.6290608780937285,0.17017047800107146
"1995-04-20_-_Magasin_4_-_Brussels,_Belgium",1995-04-20,European Tour 1995,89.0,10.0,2.263529537197582,0.377782270735009
"1995-04-22_-_Fast_Forward_Festival_-_Doornroosje_Club_-_Nijmegen,_The_Netherlands",1995-04-22,European Tour 1995,94.0,14.0,2.6564394997559098,0.4702366615472796
"1995-09-21_-_The_Empty_Bottle_-_Chicago,_IL",1995-09-21,,94.0,4.0,4.8117301734510285,0.35747485039306826
"1996-01-15_-_Brownie's_-_New_York_City,_NY",1996-01-15,,103.0,5.0,2.9356659075733207,0.3485232193675002
