song_key,song_title,n_plays,first_t,first_played,last_played,album,is_cover,opportunities,play_rate,play_rate_shrunk,deep_cut,surprisal
This Year,This Year,809,162,2004-10-04,2026-05-26,The Sunset Tree,False,1149,0.7040905134899913,0.6925552885086548,False,0.3673672051059394
No Children,No Children,768,105,2002-10-23,2026-05-26,Tallahassee,False,1206,0.6368159203980099,0.6269144635127385,False,0.46694516948528375
Up the Wolves,Up the Wolves,544,172,2005-03-23,2026-05-26,The Sunset Tree,False,1139,0.47761194029850745,0.4698853600229659,False,0.75526652887485
Dance Music,Dance Music,321,154,2004-04-08,2026-05-03,The Sunset Tree,False,1157,0.27744165946413135,0.2732346068535407,False,1.2974244870766365
You or Your Memory,You or Your Memory,314,174,2005-04-28,2026-05-03,The Sunset Tree,False,1137,0.27616534740545295,0.27190763376544286,False,1.302292852101772
Woke Up New,Woke Up New,290,218,2006-06-13,2026-05-03,Get Lonely,False,1093,0.2653247941445563,0.2610935599879761,False,1.3428764685066457
Love Love Love,Love Love Love,271,164,2004-10-11,2026-04-13,The Sunset Tree,False,1147,0.23626852659110723,0.23273104735785552,False,1.4578717953226423
The Diaz Brothers,The Diaz Brothers,268,527,2012-01-19,2026-05-24,Transcendental Youth,False,784,0.34183673469387754,0.3340760351574843,False,1.0963866617416964
See America Right,See America Right,252,104,2002-10-10,2026-04-21,Tallahassee,False,1207,0.2087821043910522,0.20586563346912584,False,1.5805315877227124
The Best Ever Death Metal Band in Denton,The Best Ever Death Metal Band in Denton,232,79,2000-09-17,2025-10-04,All Hail West Texas,False,1232,0.18831168831168832,0.1857804570819628,False,1.6831896406858018
Game Shows Touch Our Lives,Game Shows Touch Our Lives,213,185,2005-06-18,2026-05-15,Tallahassee,False,1126,0.1891651865008881,0.18638493216982324,False,1.679941215996854
Cotton,Cotton,203,118,2003-02-06,2026-04-10,We Shall All Be Healed,False,1193,0.17015926236378875,0.16784594580924767,False,1.784708709501371
Palmcorder Yajna,Palmcorder Yajna,195,104,2002-10-10,2026-04-14,We Shall All Be Healed,False,1207,0.1615575807787904,0.15941086574296448,False,1.8362703484312835
Cry for Judas,Cry for Judas,195,563,2012-07-28,2026-05-24,Transcendental Youth,False,748,0.2606951871657754,0.2546837659721581,False,1.3677326368680442
Damn These Vampires,Damn These Vampires,183,468,2011-03-24,2026-05-26,All Eternals Deck,False,843,0.21708185053380782,0.21274291108530408,False,1.547670832481891
Hast Thou Considered the Tetrapod,Hast Thou Considered the Tetrapod,181,154,2004-04-08,2026-04-21,The Sunset Tree,False,1157,0.15643906655142611,0.15428813276687972,False,1.8689334327011549
Jenny,Jenny,180,86,2001-06-23,2026-05-19,All Hail West Texas,False,1225,0.1469387755102041,0.14505793756354812,False,1.9306220469643787
