song_key,date,play_rate
02-75,1993-01-01,0.0
02-75,1993-04-01,0.0
02-75,1993-07-01,0.0
02-75,1993-10-01,0.0
02-75,1994-01-01,0.0
02-75,1994-04-01,0.0
02-75,1994-07-01,0.0
02-75,1994-10-01,0.0
02-75,1995-07-01,0.0
02-75,1995-10-01,0.0
02-75,1996-01-01,0.0
02-75,1996-04-01,0.0
02-75,1996-07-01,0.0
02-75,1996-10-01,0.045
02-75,1997-01-01,0.065
02-75,1997-04-01,0.062
02-75,1997-07-01,0.088
02-75,1997-10-01,0.088
02-75,1998-01-01,0.083
02-75,1998-04-01,0.103
02-75,1998-07-01,0.114
02-75,1998-10-01,0.097
02-75,1999-01-01,0.087
02-75,1999-04-01,0.154
02-75,1999-07-01,0.167
02-75,1999-10-01,0.158
02-75,2000-01-01,0.158
02-75,2000-04-01,0.15
02-75,2000-07-01,0.143
02-75,2000-10-01,0.143
02-75,2001-01-01,0.125
02-75,2001-04-01,0.0
02-75,2001-07-01,0.067
02-75,2001-10-01,0.067
02-75,2002-01-01,0.067
02-75,2002-04-01,0.053
02-75,2002-07-01,0.05
02-75,2002-10-01,0.05
02-75,2003-01-01,0.097
02-75,2003-04-01,0.1
02-75,2003-07-01,0.091
02-75,2003-10-01,0.109
02-75,2004-01-01,0.106
02-75,2004-04-01,0.091
02-75,2004-07-01,0.083
02-75,2004-10-01,0.081
02-75,2005-01-01,0.054
02-75,2005-04-01,0.04
02-75,2005-07-01,0.017
02-75,2005-10-01,0.0
02-75,2006-01-01,0.0
02-75,2006-04-01,0.0
02-75,2006-07-01,0.0
02-75,2006-10-01,0.0
02-75,2007-01-01,0.0
02-75,2007-04-01,0.0
02-75,2007-07-01,0.0
02-75,2007-10-01,0.0
02-75,2008-01-01,0.0
02-75,2008-04-01,0.0
02-75,2008-07-01,0.009
02-75,2008-10-01,0.01
02-75,2009-01-01,0.009
02-75,2009-04-01,0.009
02-75,2009-07-01,0.009
02-75,2009-10-01,0.01
02-75,2010-01-01,0.009
02-75,2010-04-01,0.01
02-75,2010-07-01,0.026
02-75,2010-10-01,0.025
02-75,2011-01-01,0.03
02-75,2011-04-01,0.032
02-75,2011-07-01,0.025
02-75,2011-10-01,0.023
02-75,2012-01-01,0.028
02-75,2012-04-01,0.025
02-75,2012-07-01,0.0
02-75,2012-10-01,0.0
02-75,2013-01-01,0.0
02-75,2013-04-01,0.0
02-75,2013-07-01,0.0
02-75,2013-10-01,0.0
02-75,2014-01-01,0.0
02-75,2014-04-01,0.0
02-75,2014-07-01,0.0
02-75,2014-10-01,0.0
02-75,2015-01-01,0.0
02-75,2015-04-01,0.0
02-75,2015-07-01,0.0
02-75,2015-10-01,0.0
02-75,2016-01-01,0.0
02-75,2016-04-01,0.0
02-75,2016-07-01,0.0
02-75,2016-10-01,0.0
02-75,2017-01-01,0.0
02-75,2017-04-01,0.0
02-75,2017-07-01,0.0
02-75,2017-10-01,0.0
02-75,2018-01-01,0.0
02-75,2018-04-01,0.0
02-75,2018-07-01,0.0
02-75,2018-10-01,0.0
02-75,2019-01-01,0.0
02-75,2019-04-01,0.0
02-75,2019-07-01,0.0
02-75,2019-10-01,0.0
02-75,2020-01-01,0.0
02-75,2020-04-01,0.0
02-75,2020-07-01,0.0
02-75,2020-10-01,0.0
02-75,2021-01-01,0.0
02-75,2021-04-01,0.0
02-75,2021-07-01,0.0
02-75,2021-10-01,0.0
02-75,2022-01-01,0.0
02-75,2022-04-01,0.0
02-75,2022-07-01,0.0
02-75,2022-10-01,0.0
02-75,2023-01-01,0.0
02-75,2023-04-01,0.0
02-75,2023-07-01,0.0
02-75,2023-10-01,0.0
02-75,2024-01-01,0.0
02-75,2024-04-01,0.0
02-75,2024-07-01,0.0
02-75,2024-10-01,0.0
02-75,2025-01-01,0.0
02-75,2025-04-01,0.0
02-75,2025-07-01,0.0
02-75,2025-10-01,0.0
02-75,2026-01-01,0.0
02-75,2026-04-01,0.0
1 John 4:16,1993-01-01,0.0
1 John 4:16,1993-04-01,0.0
1 John 4:16,1993-07-01,0.0
1 John 4:16,1993-10-01,0.0
1 John 4:16,1994-01-01,0.0
1 John 4:16,1994-04-01,0.0
1 John 4:16,1994-07-01,0.0
1 John 4:16,1994-10-01,0.0
1 John 4:16,1995-07-01,0.0
1 John 4:16,1995-10-01,0.0
1 John 4:16,1996-01-01,0.0
1 John 4:16,1996-04-01,0.0
1 John 4:16,1996-07-01,0.0
1 John 4:16,1996-10-01,0.0
1 John 4:16,1997-01-01,0.0
1 John 4:16,1997-04-01,0.0
1 John 4:16,1997-07-01,0.0
1 John 4:16,1997-10-01,0.0
1 John 4:16,1998-01-01,0.0
1 John 4:16,1998-04-01,0.0
1 John 4:16,1998-07-01,0.0
1 John 4:16,1998-10-01,0.0
1 John 4:16,1999-01-01,0.0
1 John 4:16,1999-04-01,0.0
1 John 4:16,1999-07-01,0.0
1 John 4:16,1999-10-01,0.0
1 John 4:16,2000-01-01,0.0
1 John 4:16,2000-04-01,0.0
1 John 4:16,2000-07-01,0.0
1 John 4:16,2000-10-01,0.0
1 John 4:16,2001-01-01,0.0
1 John 4:16,2001-04-01,0.0
1 John 4:16,2001-07-01,0.0
1 John 4:16,2001-10-01,0.0
1 John 4:16,2002-01-01,0.0
1 John 4:16,2002-04-01,0.0
1 John 4:16,2002-07-01,0.0
1 John 4:16,2002-10-01,0.0
1 John 4:16,2003-01-01,0.0
1 John 4:16,2003-04-01,0.0
1 John 4:16,2003-07-01,0.0
1 John 4:16,2003-10-01,0.0
1 John 4:16,2004-01-01,0.0
1 John 4:16,2004-04-01,0.0
1 John 4:16,2004-07-01,0.0
1 John 4:16,2004-10-01,0.0
1 John 4:16,2005-01-01,0.0
1 John 4:16,2005-04-01,0.0
1 John 4:16,2005-07-01,0.0
1 John 4:16,2005-10-01,0.0
1 John 4:16,2006-01-01,0.0
1 John 4:16,2006-04-01,0.0
1 John 4:16,2006-07-01,0.0
1 John 4:16,2006-10-01,0.0
1 John 4:16,2007-01-01,0.0
1 John 4:16,2007-04-01,0.0
1 John 4:16,2007-07-01,0.0
1 John 4:16,2007-10-01,0.0
1 John 4:16,2008-01-01,0.0
1 John 4:16,2008-04-01,0.0
1 John 4:16,2008-07-01,0.0
1 John 4:16,2008-10-01,0.0
1 John 4:16,2009-01-01,0.018
1 John 4:16,2009-04-01,0.027
1 John 4:16,2009-07-01,0.028
1 John 4:16,2009-10-01,0.03
1 John 4:16,2010-01-01,0.071
1 John 4:16,2010-04-01,0.082
1 John 4:16,2010-07-01,0.077
1 John 4:16,2010-10-01,0.076
1 John 4:16,2011-01-01,0.071
1 John 4:16,2011-04-01,0.063
1 John 4:16,2011-07-01,0.05
1 John 4:16,2011-10-01,0.046
1 John 4:16,2012-01-01,0.009
1 John 4:16,2012-04-01,0.017
1 John 4:16,2012-07-01,0.017
1 John 4:16,2012-10-01,0.017
1 John 4:16,2013-01-01,0.021
1 John 4:16,2013-04-01,0.023
1 John 4:16,2013-07-01,0.025
1 John 4:16,2013-10-01,0.026
1 John 4:16,2014-01-01,0.025
1 John 4:16,2014-04-01,0.019
1 John 4:16,2014-07-01,0.009
1 John 4:16,2014-10-01,0.01
1 John 4:16,2015-01-01,0.0
1 John 4:16,2015-04-01,0.0
1 John 4:16,2015-07-01,0.0
1 John 4:16,2015-10-01,0.0
1 John 4:16,2016-01-01,0.0
1 John 4:16,2016-04-01,0.0
1 John 4:16,2016-07-01,0.0
1 John 4:16,2016-10-01,0.0
1 John 4:16,2017-01-01,0.0
1 John 4:16,2017-04-01,0.0
1 John 4:16,2017-07-01,0.0
1 John 4:16,2017-10-01,0.0
1 John 4:16,2018-01-01,0.0
1 John 4:16,2018-04-01,0.0
1 John 4:16,2018-07-01,0.0
1 John 4:16,2018-10-01,0.0
1 John 4:16,2019-01-01,0.0
1 John 4:16,2019-04-01,0.0
1 John 4:16,2019-07-01,0.0
1 John 4:16,2019-10-01,0.0
1 John 4:16,2020-01-01,0.0
1 John 4:16,2020-04-01,0.0
1 John 4:16,2020-07-01,0.0
1 John 4:16,2020-10-01,0.0
1 John 4:16,2021-01-01,0.0
1 John 4:16,2021-04-01,0.0
1 John 4:16,2021-07-01,0.0
1 John 4:16,2021-10-01,0.0
1 John 4:16,2022-01-01,0.0
1 John 4:16,2022-04-01,0.0
1 John 4:16,2022-07-01,0.027
1 John 4:16,2022-10-01,0.019
1 John 4:16,2023-01-01,0.027
1 John 4:16,2023-04-01,0.025
1 John 4:16,2023-07-01,0.022
1 John 4:16,2023-10-01,0.025
1 John 4:16,2024-01-01,0.024
1 John 4:16,2024-04-01,0.028
1 John 4:16,2024-07-01,0.014
1 John 4:16,2024-10-01,0.016
1 John 4:16,2025-01-01,0.007
1 John 4:16,2025-04-01,0.008
1 John 4:16,2025-07-01,0.009
1 John 4:16,2025-10-01,0.009
1 John 4:16,2026-01-01,0.017
1 John 4:16,2026-04-01,0.01
1 Samuel 15:23,1993-01-01,0.0
1 Samuel 15:23,1993-04-01,0.0
1 Samuel 15:23,1993-07-01,0.0
1 Samuel 15:23,1993-10-01,0.0
1 Samuel 15:23,1994-01-01,0.0
1 Samuel 15:23,1994-04-01,0.0
1 Samuel 15:23,1994-07-01,0.0
1 Samuel 15:23,1994-10-01,0.0
1 Samuel 15:23,1995-07-01,0.0
1 Samuel 15:23,1995-10-01,0.0
1 Samuel 15:23,1996-01-01,0.0
1 Samuel 15:23,1996-04-01,0.0
1 Samuel 15:23,1996-07-01,0.0
1 Samuel 15:23,1996-10-01,0.0
1 Samuel 15:23,1997-01-01,0.0
1 Samuel 15:23,1997-04-01,0.0
1 Samuel 15:23,1997-07-01,0.0
1 Samuel 15:23,1997-10-01,0.0
1 Samuel 15:23,1998-01-01,0.0
1 Samuel 15:23,1998-04-01,0.0
1 Samuel 15:23,1998-07-01,0.0
1 Samuel 15:23,1998-10-01,0.0
1 Samuel 15:23,1999-01-01,0.0
1 Samuel 15:23,1999-04-01,0.0
1 Samuel 15:23,1999-07-01,0.0
1 Samuel 15:23,1999-10-01,0.0
1 Samuel 15:23,2000-01-01,0.0
1 Samuel 15:23,2000-04-01,0.0
1 Samuel 15:23,2000-07-01,0.0
1 Samuel 15:23,2000-10-01,0.0
1 Samuel 15:23,2001-01-01,0.0
1 Samuel 15:23,2001-04-01,0.0
1 Samuel 15:23,2001-07-01,0.0
1 Samuel 15:23,2001-10-01,0.0
1 Samuel 15:23,2002-01-01,0.0
1 Samuel 15:23,2002-04-01,0.0
1 Samuel 15:23,2002-07-01,0.0
1 Samuel 15:23,2002-10-01,0.0
1 Samuel 15:23,2003-01-01,0.0
1 Samuel 15:23,2003-04-01,0.0
1 Samuel 15:23,2003-07-01,0.0
1 Samuel 15:23,2003-10-01,0.0
1 Samuel 15:23,2004-01-01,0.0
1 Samuel 15:23,2004-04-01,0.0
1 Samuel 15:23,2004-07-01,0.0
1 Samuel 15:23,2004-10-01,0.0
1 Samuel 15:23,2005-01-01,0.0
1 Samuel 15:23,2005-04-01,0.0
1 Samuel 15:23,2005-07-01,0.0
1 Samuel 15:23,2005-10-01,0.0
1 Samuel 15:23,2006-01-01,0.0
1 Samuel 15:23,2006-04-01,0.0
1 Samuel 15:23,2006-07-01,0.0
1 Samuel 15:23,2006-10-01,0.0
1 Samuel 15:23,2007-01-01,0.0
1 Samuel 15:23,2007-04-01,0.0
1 Samuel 15:23,2007-07-01,0.0
1 Samuel 15:23,2007-10-01,0.0
1 Samuel 15:23,2008-01-01,0.0
1 Samuel 15:23,2008-04-01,0.0
1 Samuel 15:23,2008-07-01,0.0
1 Samuel 15:23,2008-10-01,0.0
1 Samuel 15:23,2009-01-01,0.0
1 Samuel 15:23,2009-04-01,0.0
1 Samuel 15:23,2009-07-01,0.0
1 Samuel 15:23,2009-10-01,0.01
1 Samuel 15:23,2010-01-01,0.124
1 Samuel 15:23,2010-04-01,0.153
1 Samuel 15:23,2010-07-01,0.248
1 Samuel 15:23,2010-10-01,0.261
1 Samuel 15:23,2011-01-01,0.354
1 Samuel 15:23,2011-04-01,0.368
1 Samuel 15:23,2011-07-01,0.289
1 Samuel 15:23,2011-10-01,0.262
1 Samuel 15:23,2012-01-01,0.196
1 Samuel 15:23,2012-04-01,0.218
1 Samuel 15:23,2012-07-01,0.139
1 Samuel 15:23,2012-10-01,0.128
1 Samuel 15:23,2013-01-01,0.107
1 Samuel 15:23,2013-04-01,0.121
1 Samuel 15:23,2013-07-01,0.18
1 Samuel 15:23,2013-10-01,0.191
1 Samuel 15:23,2014-01-01,0.197
1 Samuel 15:23,2014-04-01,0.168
1 Samuel 15:23,2014-07-01,0.125
1 Samuel 15:23,2014-10-01,0.124
1 Samuel 15:23,2015-01-01,0.127
1 Samuel 15:23,2015-04-01,0.113
1 Samuel 15:23,2015-07-01,0.024
1 Samuel 15:23,2015-10-01,0.047
1 Samuel 15:23,2016-01-01,0.032
1 Samuel 15:23,2016-04-01,0.031
1 Samuel 15:23,2016-07-01,0.043
1 Samuel 15:23,2016-10-01,0.037
1 Samuel 15:23,2017-01-01,0.034
1 Samuel 15:23,2017-04-01,0.035
1 Samuel 15:23,2017-07-01,0.035
1 Samuel 15:23,2017-10-01,0.015
1 Samuel 15:23,2018-01-01,0.014
1 Samuel 15:23,2018-04-01,0.015
1 Samuel 15:23,2018-07-01,0.008
1 Samuel 15:23,2018-10-01,0.053
1 Samuel 15:23,2019-01-01,0.074
1 Samuel 15:23,2019-04-01,0.074
1 Samuel 15:23,2019-07-01,0.09
1 Samuel 15:23,2019-10-01,0.164
1 Samuel 15:23,2020-01-01,0.175
1 Samuel 15:23,2020-04-01,0.171
1 Samuel 15:23,2020-07-01,0.196
1 Samuel 15:23,2020-10-01,0.158
1 Samuel 15:23,2021-01-01,0.143
1 Samuel 15:23,2021-04-01,0.139
1 Samuel 15:23,2021-07-01,0.167
1 Samuel 15:23,2021-10-01,0.033
1 Samuel 15:23,2022-01-01,0.15
1 Samuel 15:23,2022-04-01,0.158
1 Samuel 15:23,2022-07-01,0.16
1 Samuel 15:23,2022-10-01,0.132
1 Samuel 15:23,2023-01-01,0.118
1 Samuel 15:23,2023-04-01,0.108
1 Samuel 15:23,2023-07-01,0.096
1 Samuel 15:23,2023-10-01,0.108
1 Samuel 15:23,2024-01-01,0.048
1 Samuel 15:23,2024-04-01,0.056
1 Samuel 15:23,2024-07-01,0.035
1 Samuel 15:23,2024-10-01,0.024
1 Samuel 15:23,2025-01-01,0.022
1 Samuel 15:23,2025-04-01,0.024
1 Samuel 15:23,2025-07-01,0.028
1 Samuel 15:23,2025-10-01,0.017
1 Samuel 15:23,2026-01-01,0.025
1 Samuel 15:23,2026-04-01,0.01
Abandoned Flesh,1993-01-01,0.0
Abandoned Flesh,1993-04-01,0.0
Abandoned Flesh,1993-07-01,0.0
Abandoned Flesh,1993-10-01,0.0
Abandoned Flesh,1994-01-01,0.0
Abandoned Flesh,1994-04-01,0.0
Abandoned Flesh,1994-07-01,0.0
Abandoned Flesh,1994-10-01,0.0
Abandoned Flesh,1995-07-01,0.0
Abandoned Flesh,1995-10-01,0.0
Abandoned Flesh,1996-01-01,0.0
Abandoned Flesh,1996-04-01,0.0
Abandoned Flesh,1996-07-01,0.0
Abandoned Flesh,1996-10-01,0.0
Abandoned Flesh,1997-01-01,0.0
Abandoned Flesh,1997-04-01,0.0
Abandoned Flesh,1997-07-01,0.0
Abandoned Flesh,1997-10-01,0.0
Abandoned Flesh,1998-01-01,0.0
Abandoned Flesh,1998-04-01,0.0
Abandoned Flesh,1998-07-01,0.0
Abandoned Flesh,1998-10-01,0.0
Abandoned Flesh,1999-01-01,0.0
Abandoned Flesh,1999-04-01,0.0
Abandoned Flesh,1999-07-01,0.0
Abandoned Flesh,1999-10-01,0.0
Abandoned Flesh,2000-01-01,0.0
Abandoned Flesh,2000-04-01,0.0
Abandoned Flesh,2000-07-01,0.0
Abandoned Flesh,2000-10-01,0.0
Abandoned Flesh,2001-01-01,0.0
Abandoned Flesh,2001-04-01,0.0
Abandoned Flesh,2001-07-01,0.0
Abandoned Flesh,2001-10-01,0.0
Abandoned Flesh,2002-01-01,0.0
Abandoned Flesh,2002-04-01,0.0
Abandoned Flesh,2002-07-01,0.0
Abandoned Flesh,2002-10-01,0.0
Abandoned Flesh,2003-01-01,0.0
Abandoned Flesh,2003-04-01,0.0
Abandoned Flesh,2003-07-01,0.0
Abandoned Flesh,2003-10-01,0.0
Abandoned Flesh,2004-01-01,0.0
Abandoned Flesh,2004-04-01,0.0
Abandoned Flesh,2004-07-01,0.0
Abandoned Flesh,2004-10-01,0.0
Abandoned Flesh,2005-01-01,0.0
Abandoned Flesh,2005-04-01,0.0
Abandoned Flesh,2005-07-01,0.0
Abandoned Flesh,2005-10-01,0.0
Abandoned Flesh,2006-01-01,0.0
Abandoned Flesh,2006-04-01,0.0
Abandoned Flesh,2006-07-01,0.0
Abandoned Flesh,2006-10-01,0.0
Abandoned Flesh,2007-01-01,0.0
Abandoned Flesh,2007-04-01,0.0
Abandoned Flesh,2007-07-01,0.0
Abandoned Flesh,2007-10-01,0.0
Abandoned Flesh,2008-01-01,0.0
Abandoned Flesh,2008-04-01,0.0
Abandoned Flesh,2008-07-01,0.0
Abandoned Flesh,2008-10-01,0.0
Abandoned Flesh,2009-01-01,0.0
Abandoned Flesh,2009-04-01,0.0
Abandoned Flesh,2009-07-01,0.0
Abandoned Flesh,2009-10-01,0.0
Abandoned Flesh,2010-01-01,0.0
Abandoned Flesh,2010-04-01,0.0
Abandoned Flesh,2010-07-01,0.0
Abandoned Flesh,2010-10-01,0.0
Abandoned Flesh,2011-01-01,0.0
Abandoned Flesh,2011-04-01,0.0
Abandoned Flesh,2011-07-01,0.0
Abandoned Flesh,2011-10-01,0.0
Abandoned Flesh,2012-01-01,0.0
Abandoned Flesh,2012-04-01,0.0
Abandoned Flesh,2012-07-01,0.0
Abandoned Flesh,2012-10-01,0.0
Abandoned Flesh,2013-01-01,0.0
Abandoned Flesh,2013-04-01,0.0
Abandoned Flesh,2013-07-01,0.0
Abandoned Flesh,2013-10-01,0.0
Abandoned Flesh,2014-01-01,0.0
Abandoned Flesh,2014-04-01,0.0
Abandoned Flesh,2014-07-01,0.0
Abandoned Flesh,2014-10-01,0.0
Abandoned Flesh,2015-01-01,0.0
Abandoned Flesh,2015-04-01,0.0
Abandoned Flesh,2015-07-01,0.0
Abandoned Flesh,2015-10-01,0.0
Abandoned Flesh,2016-01-01,0.0
Abandoned Flesh,2016-04-01,0.0
Abandoned Flesh,2016-07-01,0.0
Abandoned Flesh,2016-10-01,0.0
Abandoned Flesh,2017-01-01,0.0
Abandoned Flesh,2017-04-01,0.0
Abandoned Flesh,2017-07-01,0.044
Abandoned Flesh,2017-10-01,0.053
Abandoned Flesh,2018-01-01,0.079
Abandoned Flesh,2018-04-01,0.083
Abandoned Flesh,2018-07-01,0.092
Abandoned Flesh,2018-10-01,0.092
Abandoned Flesh,2019-01-01,0.098
Abandoned Flesh,2019-04-01,0.099
Abandoned Flesh,2019-07-01,0.063
Abandoned Flesh,2019-10-01,0.043
Abandoned Flesh,2020-01-01,0.01
Abandoned Flesh,2020-04-01,0.01
Abandoned Flesh,2020-07-01,0.0
Abandoned Flesh,2020-10-01,0.0
Abandoned Flesh,2021-01-01,0.0
Abandoned Flesh,2021-04-01,0.0
Abandoned Flesh,2021-07-01,0.0
Abandoned Flesh,2021-10-01,0.0
Abandoned Flesh,2022-01-01,0.017
Abandoned Flesh,2022-04-01,0.018
Abandoned Flesh,2022-07-01,0.067
Abandoned Flesh,2022-10-01,0.104
Abandoned Flesh,2023-01-01,0.136
Abandoned Flesh,2023-04-01,0.142
Abandoned Flesh,2023-07-01,0.178
Abandoned Flesh,2023-10-01,0.267
Abandoned Flesh,2024-01-01,0.25
Abandoned Flesh,2024-04-01,0.218
Abandoned Flesh,2024-07-01,0.252
Abandoned Flesh,2024-10-01,0.31
Abandoned Flesh,2025-01-01,0.255
Abandoned Flesh,2025-04-01,0.268
Abandoned Flesh,2025-07-01,0.236
Abandoned Flesh,2025-10-01,0.154
Abandoned Flesh,2026-01-01,0.15
Abandoned Flesh,2026-04-01,0.176
Abandoning My Father Talking Blues,1993-01-01,0.0
Abandoning My Father Talking Blues,1993-04-01,0.0
Abandoning My Father Talking Blues,1993-07-01,0.0
Abandoning My Father Talking Blues,1993-10-01,0.0
Abandoning My Father Talking Blues,1994-01-01,0.0
Abandoning My Father Talking Blues,1994-04-01,0.0
Abandoning My Father Talking Blues,1994-07-01,0.0
Abandoning My Father Talking Blues,1994-10-01,0.0
Abandoning My Father Talking Blues,1995-07-01,0.0
Abandoning My Father Talking Blues,1995-10-01,0.0
Abandoning My Father Talking Blues,1996-01-01,0.0
Abandoning My Father Talking Blues,1996-04-01,0.0
Abandoning My Father Talking Blues,1996-07-01,0.0
Abandoning My Father Talking Blues,1996-10-01,0.0
Abandoning My Father Talking Blues,1997-01-01,0.0
Abandoning My Father Talking Blues,1997-04-01,0.0
Abandoning My Father Talking Blues,1997-07-01,0.0
Abandoning My Father Talking Blues,1997-10-01,0.0
Abandoning My Father Talking Blues,1998-01-01,0.0
Abandoning My Father Talking Blues,1998-04-01,0.0
Abandoning My Father Talking Blues,1998-07-01,0.0
Abandoning My Father Talking Blues,1998-10-01,0.0
Abandoning My Father Talking Blues,1999-01-01,0.0
Abandoning My Father Talking Blues,1999-04-01,0.0
Abandoning My Father Talking Blues,1999-07-01,0.0
Abandoning My Father Talking Blues,1999-10-01,0.0
Abandoning My Father Talking Blues,2000-01-01,0.0
Abandoning My Father Talking Blues,2000-04-01,0.0
Abandoning My Father Talking Blues,2000-07-01,0.0
Abandoning My Father Talking Blues,2000-10-01,0.0
Abandoning My Father Talking Blues,2001-01-01,0.0
Abandoning My Father Talking Blues,2001-04-01,0.0
Abandoning My Father Talking Blues,2001-07-01,0.0
Abandoning My Father Talking Blues,2001-10-01,0.0
Abandoning My Father Talking Blues,2002-01-01,0.0
Abandoning My Father Talking Blues,2002-04-01,0.0
Abandoning My Father Talking Blues,2002-07-01,0.0
Abandoning My Father Talking Blues,2002-10-01,0.0
Abandoning My Father Talking Blues,2003-01-01,0.0
Abandoning My Father Talking Blues,2003-04-01,0.0
Abandoning My Father Talking Blues,2003-07-01,0.0
Abandoning My Father Talking Blues,2003-10-01,0.0
Abandoning My Father Talking Blues,2004-01-01,0.0
Abandoning My Father Talking Blues,2004-04-01,0.0
Abandoning My Father Talking Blues,2004-07-01,0.0
Abandoning My Father Talking Blues,2004-10-01,0.0
Abandoning My Father Talking Blues,2005-01-01,0.0
Abandoning My Father Talking Blues,2005-04-01,0.0
Abandoning My Father Talking Blues,2005-07-01,0.0
Abandoning My Father Talking Blues,2005-10-01,0.0
Abandoning My Father Talking Blues,2006-01-01,0.0
Abandoning My Father Talking Blues,2006-04-01,0.0
Abandoning My Father Talking Blues,2006-07-01,0.0
