tour,shows,first,last,avg_songs
Northeast Tour 1994,5,1994-08-18,1994-08-23,7.6
European Tour 1995,9,1995-04-12,1995-04-22,7.2
First European Tour 1996,7,1996-02-25,1996-03-23,12.4
Summer Tour 1996,19,1996-08-29,1996-09-21,3.3
Second European Tour 1996,34,1996-10-18,1996-11-22,3.6
East Coast Tour 1997,7,1997-04-04,1997-04-14,3.6
Ornery As Pigs Tour 1997,15,1997-06-12,1997-06-28,7.9
Eastern United States Tour 1999,10,1999-01-21,1999-01-31,9.0
Midwest Tour 2002,7,2002-03-01,2002-03-11,15.6
United States Tour 2002,17,2002-11-01,2002-11-16,4.6
European Tour 2003,25,2003-01-29,2003-02-21,4.2
Ya'll Know What Time It Is Tour 2003,12,2003-04-04,2003-04-18,6.7
Australian Tour 2003,9,2003-07-24,2003-08-02,0.0
Western U.S. Tour 2003,17,2003-09-24,2003-10-12,3.9
Winter Tour 2004,23,2004-02-10,2004-03-07,6.3
European Tour 2004,16,2004-03-25,2004-04-08,3.5
West Coast Tour 2004,9,2004-05-21,2004-05-29,4.7
Fall Tour 2004,15,2004-10-02,2004-10-19,8.2
First Spring Tour 2005,15,2005-03-23,2005-04-09,2.3
Eastern North America Tour 2005,16,2005-04-26,2005-05-14,7.2
West Coast Tour 2005,11,2005-06-17,2005-06-29,8.9
Australia and New Zealand Tour 2005,8,2005-09-08,2005-09-16,2.5
Fall Tour 2005,15,2005-10-12,2005-10-31,13.1
Australia and New Zealand Tour 2006,8,2006-04-06,2006-04-19,0.2
West Coast Tour 2006,7,2006-06-08,2006-06-15,7.3
First Fall Tour 2006,14,2006-09-14,2006-10-01,11.1
Second Fall Tour 2006,15,2006-10-20,2006-11-09,5.5
I Shall Now Eat Some Jester's Pies Tour 2006/7,7,2006-12-30,2007-01-07,9.3
West Coast Tour 2007,12,2007-02-24,2007-03-14,12.1
Scandinavian Tour 2007,8,2007-03-29,2007-04-08,6.1
Northeast Tour 2007,9,2007-09-20,2007-10-02,16.0
Midwest Tour 2007,13,2007-10-30,2007-11-15,13.8
First Spring Tour 2008,11,2008-02-19,2008-03-05,14.3
Revelation Time Tour 2008,7,2008-03-13,2008-03-22,18.1
Last Happy Night of Your Life Tour 2008,22,2008-10-13,2008-11-09,18.9
Australia and New Zealand Tour 2008,10,2008-12-05,2008-12-18,12.7
Gone Primitive Tour,15,2009-03-18,2009-04-06,20.4
European Tour 2009,5,2009-10-09,2009-10-15,21.8
American Autumn Tour 2009,17,2009-11-04,2009-12-02,20.1
Australia and New Zealand Tour 2010,7,2010-04-08,2010-04-18,17.9
Replicant Cattle Drive Tour 2010,14,2010-05-30,2010-06-16,12.6
Great Plains Mini-Tour 2010,4,2010-10-04,2010-10-08,17.2
Extra Lens Mini-Tour 2010,5,2010-10-19,2010-10-23,16.4
Full Fish Moon Tour 2011,18,2011-03-24,2011-04-15,20.9
UK and Ireland Tour 2011,7,2011-05-22,2011-05-30,18.9
Blue Kachina Prophecy Tour 2011,9,2011-06-14,2011-06-26,21.4
Summer 2011 Tour with Bright Eyes,9,2011-07-27,2011-08-05,12.4
New Hymns for the Advent of the Serpent God Tour 2012,14,2012-01-19,2012-02-04,17.6
Australian Tour 2012,7,2012-05-01,2012-05-10,19.6
Survivors Choice West Coast Tour 2012,8,2012-06-22,2012-07-03,21.4
Nameless Dark Tour 2012,33,2012-10-09,2012-12-17,18.6
Tuttlingen Warriors Tour 2013,20,2013-06-03,2013-06-28,19.6
Tuttlingen Warriors Tour 2013 (European Leg),13,2013-10-07,2013-10-20,15.0
Ghost Cave Incubation Chamber Solo Non-Tour Tour 2014,7,2014-04-15,2014-04-21,19.9
Twin Inhuman Highway Fiends Tour 2014,14,2014-06-05,2014-06-22,19.4
Regional Heat Tour 2015,29,2015-04-02,2015-06-09,21.1
All Roads Lead to Lincoln Solo Mini-Tour 2015,4,2015-09-08,2015-09-12,21.8
"By, For, and About the Trees Southeastern Fall Tour 2015",8,2015-10-02,2015-10-10,21.1
European Tour 2015,11,2015-11-12,2015-11-23,18.0
Winter/Spring Tour 2016,5,2016-02-24,2016-03-01,19.8
Brine Crypt Exodus Tour 2016,16,2016-04-01,2016-04-19,21.7
We Who Walk Behind the Rows Fall Tour 2016,13,2016-09-18,2016-10-03,22.1
Crocodile Variations Colorado Tour 2016,4,2016-10-25,2016-10-29,19.8
Australian Tour 2017,8,2017-04-06,2017-04-14,16.2
Grey King Ascendant Tour 2017,12,2017-05-22,2017-06-06,22.3
Summer Tour 2017,18,2017-06-23,2017-07-14,15.2
U.S. Fall Tour 2017,26,2017-09-05,2017-12-06,20.8
European Tour 2017,11,2017-10-05,2017-10-17,19.9
Etruscan Strength Tour 2018,10,2018-04-12,2018-04-23,21.7
No Shield Except the Skin Tour 2018,14,2018-08-30,2018-09-14,19.9
Grotto of the Basilisk Tour 2019,18,2019-04-26,2019-05-17,22.4
Protector's Wrath Tour 2019,11,2019-07-17,2019-08-16,22.2
Chamber of the Wyvern Tour 2019,17,2019-08-28,2019-09-18,23.7
Wyvern's Ring Tour 2019,13,2019-11-09,2019-11-24,20.2
The Jordan Lake Sessions,5,2020-10-22,2022-08-25,18.0
Cave Angel Ascendancy Tour 2021,29,2021-08-06,2021-12-15,22.6
Snake Nebula Tour 2021,12,2021-09-07,2021-09-26,21.8
Robotic Mosquito Dream Tour 2021,3,2021-12-16,2021-12-18,23.3
Omu Cani Hypothesis Tour 2022,19,2022-04-28,2022-05-21,23.4
Summer Tour 2022,8,2022-07-09,2022-07-17,21.4
Fall Tour 2022,22,2022-08-19,2022-09-22,23.2
European Tour 2022,7,2022-11-10,2022-11-18,22.7
Bufonite Smugglers Tour 2023,10,2023-02-08,2023-02-19,21.7
Spectral Tide Tour 2023,40,2023-03-30,2023-10-13,21.3
Reinforced Safety Visor Tour 2023,11,2023-12-01,2023-12-15,22.5
Sworn to the Effort Tour 2024,12,2024-01-18,2024-02-01,19.5
Winter Solo Tour 2024,4,2024-02-29,2024-03-03,20.8
Spring Tour 2024,14,2024-04-05,2024-04-22,22.3
European Tour 2024,6,2024-05-21,2024-05-28,20.0
Summer Tour 2024,13,2024-07-25,2024-08-10,19.5
Rule of Three Tour 2024,10,2024-10-07,2024-10-20,20.8
Arval Brethren Revival Tour 2024,10,2024-11-30,2024-12-13,19.9
Summer Tour 2025,15,2025-07-25,2025-08-12,17.3
Presentiments of Doom With a Terrific View of the Sunset Tour 2025,15,2025-09-17,2025-10-04,20.8
Winter Tour 2025,13,2025-11-29,2025-12-14,22.2
Heralds of Triton Tour 2026,13,2026-04-05,2026-04-21,19.5
Hypnotic Waves Tour 2026,9,2026-05-15,2026-05-26,21.7
