show_id,note_seq,note
"2007-09-20_-_The_Black_Cat_-_Washington,_D.C.",1,"These versions of ""Last Man on Earth"" and ""In the Craters of the Moon"" predate the release of Heretic Pride by about 5 months."
"2009-04-06_-_Buskirk-Chumley_Theater_-_Bloomington,_IN",1,"John Vanderslice is featured on tracks marked with an asterisk, and he sang lead vocals on ""Columns Pillars Steps""."
"1996-03-16_-_Lintfabriek_-_Kontich,_Belgium",1,Song 16 was played by request.
"2012-10-15_-_Bowery_Ballroom_-_New_York,_NY",1,"""Dance Music"" was performed by John Darnielle and Peter Hughes as a duo, and ""Ezekiel 7 and the Permanent Efficacy of Grace"" was performed by Darnielle and Jon Wurster ."
"2012-10-15_-_Bowery_Ballroom_-_New_York,_NY",2,John's solo set was songs 9 through 11.
"2012-10-15_-_Bowery_Ballroom_-_New_York,_NY",3,Songs 14 through 16 and 19 through 20 were performed with a horn section.
"2005-01-26_-_WELH_Session_-_Providence,_RI",1,This set was recorded over cellphone.
"2004-05-21_-_KEXP_Session_-_Seattle,_WA",1,"Before John plays ""The Plague"", he mentions that it was originally supposed to be the A-side for a single for Sub Pop Records but he couldn't find the tape so he ""chose something else"". He is most likely referring to the Jam Eater Blues single."
"2000-10-19_-_WFMU_Session_-_New_York,_NY",1,This session was recorded on a Panasonic MX-FT500 provided by Douglas Wolk .
"2000-10-19_-_WFMU_Session_-_New_York,_NY",2,"The session took place ""in Manhattan at a friend’s apartment"" [ 1 ] ."
"2000-10-19_-_WFMU_Session_-_New_York,_NY",3,"The session aired on November 23, 2000."
"1999-01-27_-_Cat's_Cradle_-_Carrboro,_NC",1,"""Commandante"" was sung with alternate lyrics in the chorus: “lace up your skates real good, come on over to my neighborhood” and “lace up your skates real tight, be here by six o’clock tonight.”"
2010-03-10_-_NPR_Tiny_Desk_Concert,1,The Tiny Desk concerts (including The Mountain Goats') are available to download on iTunes as a podcast.
"2007-03-01_-_Neumo's_-_Seattle,_WA",1,The opening act of this show was Pony Up .
"2011-03-29_-_KEXP_Session_-_Seattle,_WA",1,"John decided to play ""Matthew 25:21"" because a friend of his from high school, Kara, had died of breast cancer two days before the session."
"2012-12-16_-_Oregon_Public_Broadcasting_Session_-_Aladdin_Theater_-_Portland,_OR",1,"Recorded during the soundcheck for the 2012-12-16 - Aladdin Theater - Portland, OR show."
"2007-03-11_-_The_El_Rey_-_Los_Angeles,_CA",1,"Peter Hughes sang lead vocals for the cover of ""Heartland Feeling""."
"2007-03-31_-_Fritz's_Corner_@_Debaser_-_Stockholm,_Sweden",1,"Peter Hughes sang lead vocals for ""Heartland Feeling""."
"2006-06-09_-_Neumo's_-_Seattle,_WA",1,"John wore a Pinklon Thomas T-shirt and also explained why he is so great during this show; he would later write the song "" Pinklon "" about him."
"2008-03-02_-_Bottom_of_the_Hill_-_San_Francisco,_CA",1,"""I've Got the Sex"" was played on request."
"2008-03-02_-_Bottom_of_the_Hill_-_San_Francisco,_CA",2,"John said for song 19 he would either play Song ""A"" or ""B"". ""B"", The Sign , was chosen, rather than ""A"", which was Sign of the Crow 2 . [ 1 ]"
"1992-07-22_-_Munchie's_-_Pomona,_CA",1,"Songs 4, 6, 7, and 8 are performed with the Bright Mountain Choir ."
"1992-07-22_-_Munchie's_-_Pomona,_CA",2,Song 2 is performed with the Dark Mountain Boys.
"1992-07-22_-_Munchie's_-_Pomona,_CA",3,Songs 5 through 8 are performed with Ian Smith on electric guitar. Ian was in John's first band.
"2012-10-11_-_Theater_of_Living_Arts_-_Philadelphia,_PA",1,"Songs marked with a ""*"" featured a horn section."
"2012-03-24_-_Merkin_Concert_Hall_-_New_York,_NY",1,The Mountain Goats were joined by the a capella quartet Anonymous 4 for the Transcendental Youth portion of the set.
"2009-03-25_-_Somerville_Theater_-_Somerville,_MA",1,"John Vanderslice sang lead vocals on ""Columns Pillars Steps""."
"2012-06-28_-_Swedish_American_Hall_-_San_Francisco,_CA",1,"Allen Callaci phoned in a performance of ""Lonesome Surprise"", just like the version on Nine Black Poppies ."
"2011-03-30_-_Bowery_Ballroom_-_New_York,_NY",1,"Craig Finn of The Hold Steady sang lead vocals for a few lines of ""This Year"" and ""Palmcorder Yajna""."
