show_id,pageid,title,url,date_raw,date,year,month,day,venue,location,city,region,tour,all_tours,show_type,act,region_category,has_video,has_audio,incomplete_setlist,incomplete_article,is_solo,n_songs,revid
"1992-05-31_-_Shrimperfest_-_Munchie's,_Pomona,_CA",2598,"1992-05-31 - Shrimperfest - Munchie's, Pomona, CA",https://themountaingoats.fandom.com/wiki/1992-05-31_-_Shrimperfest_-_Munchie%27s%2C_Pomona%2C_CA,1992-05-31,1992-05-31,1992.0,5.0,31.0,Shrimperfest,"Munchie's, Pomona, CA","Munchie's, Pomona",CA,,,,The Extra Glenns,California,False,False,False,False,False,3,24956
"1992-07-18_-_Casa_de_Badger_-_Pomona,_CA",2631,"1992-07-18 - Casa de Badger - Pomona, CA",https://themountaingoats.fandom.com/wiki/1992-07-18_-_Casa_de_Badger_-_Pomona%2C_CA,1992-07-18,1992-07-18,1992.0,7.0,18.0,Casa de Badger,"Pomona, CA",Pomona,CA,,,,The Mountain Goats,California|Available,False,False,False,False,False,5,31628
"1992-07-22_-_Munchie's_-_Pomona,_CA",2417,"1992-07-22 - Munchie's - Pomona, CA",https://themountaingoats.fandom.com/wiki/1992-07-22_-_Munchie%27s_-_Pomona%2C_CA,1992-07-22,1992-07-22,1992.0,7.0,22.0,Munchie's,"Pomona, CA",Pomona,CA,,,,The Mountain Goats,California|Available,False,False,False,False,False,8,25214
"1992-10-01_-_KUCI_Session_-_Irvine,_CA",3054,"1992-10-01 - KUCI Session - Irvine, CA",https://themountaingoats.fandom.com/wiki/1992-10-01_-_KUCI_Session_-_Irvine%2C_CA,1992-10-01,1992-10-01,1992.0,10.0,1.0,KUCI Session,"Irvine, CA",Irvine,CA,,,radio session,The Mountain Goats,California,False,False,False,False,False,5,39528
"1992-12-06_-_Munchie's_-_Pomona,_CA",3351,"1992-12-06 - Munchie's - Pomona, CA",https://themountaingoats.fandom.com/wiki/1992-12-06_-_Munchie%27s_-_Pomona%2C_CA,1992-12-06,1992-12-06,1992.0,12.0,6.0,Munchie's,"Pomona, CA",Pomona,CA,,,,The Extra Glenns,California|Partially available,False,False,False,False,False,15,40721
"1992-12-12_-_KUCI_Session_-_Irvine,_CA",3525,"1992-12-12 - KUCI Session - Irvine, CA",https://themountaingoats.fandom.com/wiki/1992-12-12_-_KUCI_Session_-_Irvine%2C_CA,1992-12-12,1992-12-12,1992.0,12.0,12.0,KUCI Session,"Irvine, CA",Irvine,CA,,,radio session,The Mountain Goats,California,False,False,False,False,False,3,38888
"1992-12-13_-_KSPC_Radio_Session_-_Pomona,_CA",2748,"1992-12-13 - KSPC Radio Session - Pomona, CA",https://themountaingoats.fandom.com/wiki/1992-12-13_-_KSPC_Radio_Session_-_Pomona%2C_CA,1992-12-13,1992-12-13,1992.0,12.0,13.0,KSPC Radio Session,"Pomona, CA",Pomona,CA,,,radio session,The Mountain Goats,California|Partially available,False,False,False,True,False,8,39355
"1992-12-27_-_Xmasfest_-_Munchie's_-_Pomona,_CA",5322,"1992-12-27 - Xmasfest - Munchie's - Pomona, CA",https://themountaingoats.fandom.com/wiki/1992-12-27_-_Xmasfest_-_Munchie%27s_-_Pomona%2C_CA,1992-12-27,1992-12-27,1992.0,12.0,27.0,Xmasfest - Munchie's,"Pomona, CA",Pomona,CA,,,,The Mountain Goats,California,False,False,False,False,False,7,27295
"1992-xx-xx_-_Munchie's_-_Pomona,_CA",2890,"1992-xx-xx - Munchie's - Pomona, CA",https://themountaingoats.fandom.com/wiki/1992-xx-xx_-_Munchie%27s_-_Pomona%2C_CA,1992-xx-xx,,1992.0,,,Munchie's,"Pomona, CA",Pomona,CA,,,,The Mountain Goats,California,False,False,False,True,False,1,18626
"1993-03-07_-_Walker_Lounge_-_Pomona,_CA",3013,"1993-03-07 - Walker Lounge - Pomona, CA",https://themountaingoats.fandom.com/wiki/1993-03-07_-_Walker_Lounge_-_Pomona%2C_CA,1993-03-07,1993-03-07,1993.0,3.0,7.0,Walker Lounge,"Pomona, CA",Pomona,CA,,,,The Mountain Goats,California,False,False,False,False,False,5,24057
